 Question,Long Answer,Short Answer,Source,Prompts,QnaId,ContextNeeded,InCourse
How is attachment related to different cultures?,"In Western cultures, we often emphasize a single attachment to the mother as the primary caregiver. However, research shows that having multiple caregivers can also lead to secure and emotionally well-adjusted children. Studies in Israel, the Netherlands, and East Africa have found that children with multiple caregivers not only feel secure but also develop a broader perspective of the world. This is evident in hunter-gatherer communities, like those in rural Tanzania, where various individuals help care for children. In places like non-metropolitan India, where extended families are common, children have several caregivers, including grandparents and other relatives, who enrich their social and emotional development. While there are cultural differences, research supports the universal aspects of attachment theory. It shows that secure attachment is desirable and prevalent, maternal sensitivity influences attachment patterns, and specific attachments in infancy can predict later social and cognitive skills.","Research has shown that children can form secure attachment with multiple caregivers, extending beyond just the mother.\n This is observed in different cultures such as many asian cultures like India where extended families are common and children have several caregivers including grandparents and relatives. \n While there are cultural differences, research supports the universal aspects of attachment theory: secure attachment is desirable and prevalent, maternal sensitivity influences attachment patterns, and specific attachments in infancy can predict later social and cognitive skills.",https://en.wikipedia.org/wiki/Attachment_theory,[],16,FALSE,FALSE
What is the significance of attachment patterns?,"Research has shown that attachment patterns play a crucial role in a child's development. Insecure attachment can bring challenges and put future relationships at risk, while secure attachment fosters social competence and overall well-being.  Peer relationships, parenting quality, and family environment further influence the outcomes associated with different attachment styles.",,https://en.wikipedia.org/wiki/Attachment_theory,[],23,FALSE,FALSE
What is secure attachment in adults?,"Securely attached adults exhibit a high need for achievement and low fear of failure. \n They approach tasks positively, explore in achievement settings, and display emotional regulation. \n In romantic relationships, they excel in conflict resolution, communication, and meeting their partner's needs. \n They value mutual intimacy and are less likely to engage in casual sex or extramarital affairs. \n Having at least one securely attached partner fosters healthy relationship functioning, while relationships with non-secure attachment styles often experience negative dynamics. \n Overall, securely attached individuals are resilient, caring, and maintain fulfilling relationships.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",24,FALSE,FALSE
What is anxious-preoccupied attachment in adults?,"Anxious-preoccupied adults seek high intimacy and approval from partners, often becoming overly dependent. \n They have less trust, lower self-esteem, and display emotional expressiveness, worry, and impulsiveness in relationships. \n Their intense or unstable relationships leave them vulnerable and prone to overreacting to separation. They tend to overanalyze and can engage in self-sabotage. Anxious-preoccupied individuals often seek dismissive-avoidant partners.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",25,FALSE,FALSE
What is dismissive-avoidant in adults?,"Dismissive-avoidant adults prioritize independence, suppress feelings, and avoid close relationships. \nThey have a strong self-sufficiency belief, distrust others, and strive for self-reliance.\n These individuals downplay emotional attachment, passively avoid intimacy, and may show indifference towards others' opinions.\n Dismissive-avoidant individuals engage in low psychological intimacy activities and report less enjoyment of physical contact.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",26,FALSE,FALSE
What is fearful-avoidant in adults?,"Fearful-avoidant adults have mixed feelings about close relationships, both desiring and feeling uncomfortable with emotional closeness. They tend to mistrust their partners and view themselves as unworthy. Like dismissive-avoidant adults, fearful-avoidant adults tend to seek less intimacy, suppressing their feelings.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}]",27,FALSE,FALSE
What are the relationships involving people with different attachment styles?,"In relationships, insecure individuals often partner with others who are also insecure, while secure individuals tend to be with secure partners. Insecure relationships tend to be enduring but less emotionally satisfying. Attachment styles influence relationship dynamics from the start and affect how relationships end. Secure attachment enables better conflict resolution, the ability to exit unsatisfying relationships, and successful coping with relational losses. Attachment styles also impact caregiving behaviors in relationships.",,https://en.wikipedia.org/wiki/Attachment_theory,[],28,FALSE,FALSE
How to assess and measure attachment?,"Different measures of adult attachment exist, including self-report questionnaires and coded interviews. These measures were primarily developed as research tools and serve various purposes, focusing on different domains such as romantic, platonic, parental, or peer relationships. Some measures assess an adult's attachment state of mind based on childhood experiences, while others evaluate relationship behaviors and security in relation to parents and peers.",,https://en.wikipedia.org/wiki/Attachment_theory,[],29,FALSE,FALSE
How is adult attachment associated with other traits?,Adult attachment styles are related to individual differences in the ways in which adults experience and manage their emotions. Recent data have linked insecure attachment styles to lower emotional intelligence.,,https://en.wikipedia.org/wiki/Attachment_theory,[],30,FALSE,FALSE
How is attachment related to criminal offenses?,"Attachment is connected to criminal offenses, especially within close relationships. Disrupted attachment patterns in childhood increase the risk of domestic violence. Factors like low partner support, deficient maternal love, and low self-esteem predict male violence. Offenders with dismissive attachment styles tend to be emotionally abusive and violent. Sexual offenders often have insecure attachments, with preoccupied attachment styles being common. ",,https://en.wikipedia.org/wiki/Attachment_theory,[],37,FALSE,FALSE
Who can form attachment?,"Although it is usual for the mother to be the primary attachment figure, infants will form attachments to any carer who is sensitive and responsive in social interactions with them.",,Editorial,[],172,FALSE,FALSE
What are different attachment styles during adolescence?,Different attachment styles can be observed during adolescence: \n Secure adolescents prioritize their mothers as their main source of attachment support.\n Insecure adolescents rely more on their peers for attachment support.\n Dismissive adolescents view their parents as less significant in providing attachment support. \n Preoccupied adolescents consider their parents as their primary source of attachment support.,,Editorial,[],173,FALSE,FALSE
What are the different attachment styles in infants?,"There are four attachment styles: secure attachment,  anxious or ambivalent, avoidant and disorganized attachment. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""},{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""},{""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",174,FALSE,FALSE
What is secure attachment in infants?,"Secure attachment in toddlers is characterized by freely exploring their environment in the presence of a familiar caregiver. They engage with strangers, become visibly upset when the caregiver leaves, and show happiness upon their return. The child's temperamental makeup and situational factors can influence the extent of exploration and distress alongside attachment status. A secure attachment is formed when the primary caregiver consistently responds to the child's needs. This creates a sense of security and trust in the child, knowing that their needs will be met. Securely attached children have a secure base with their caregiver, allowing them to explore confidently and receive assistance when needed. This attachment style is considered the most adaptive, as it fosters resilience and effective coping skills. Caring and attentive parents in infancy and early childhood contribute to the development of secure attachment in children.","Secure attachment in infants is characterized by freely exploring their surroundings while their caregiver is present, showing distress when the caregiver leaves, and finding comfort and happiness upon the caregiver's return. It is formed when caregivers consistently and responsively meet the child's needs, creating a sense of security and trust in the child.",Editorial,"[{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""},{""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",175,FALSE,FALSE
What is anxious or ambivalent attachment?,"Anxious or ambivalent attachment,is characterized by limited exploration and wariness of strangers even in the presence of the caregiver. When the caregiver leaves, the child becomes highly distressed, often crying or screaming. Upon the caregiver's return, the child displays ambivalent behavior. This attachment style develops in response to unpredictably responsive caregiving and can be seen as a conditional strategy to maintain the caregiver's availability. Research suggests that children with abusive childhood experiences are more likely to develop ambivalent attachments. These children may face challenges in maintaining intimate relationships as adults.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""},{""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",176,FALSE,FALSE
What is avoidant attachment?,"
Infants with an avoidant attachment pattern tend to avoid or ignore their caregiver, showing little emotion upon separation or reunion. They exhibit limited exploration regardless of who is present. This behavior can be seen as a mask for underlying distress, as studies have shown increased heart rate in avoidant infants. Avoidant infants have a history of experiencing unresponsive caregiving, leading them to believe that expressing their emotional needs has no impact on the caregiver. Avoidance serves two functions for these infants: maintaining conditional proximity to the caregiver for protection while avoiding potential rejection, and directing attention away from unfulfilled desires for closeness to prevent overwhelming emotions.","Avoidant attachment in infants is characterized by avoiding or ignoring the caregiver, showing little emotional response during separation and reunion. It develops when caregivers consistently fail to respond to the infant's needs, leading the infant to believe that expressing emotions has no effect.",Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""},{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",177,FALSE,FALSE
What is disorganized attachment?,"Disorganized attachment in infants refers to a pattern of behaviour observed where the infant's responses appear disorganized, contradictory, or disrupted. It can involve displays of fear, inconsistent behaviors, unusual movements, freezing, or apparent dissociation. Not all disorganized infants show clear ambivalent or avoidant behavior, as some may still seek comfort and stop distress in the presence of the caregiver.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""},{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""}]",178,FALSE,FALSE
How many exercises?,There are a total of 26 exercises in the SAT course,,Editorial,[],179,FALSE,FALSE
What is SAT?,"The Self-Attachment Technique (SAT) is a self-help method that helps individuals regulate their emotions by engaging with their ""childhood self"" known as the ""Child"" and ""adult self"" known as the ""Adult"". It involves creating a bond with the Child and engaging in daily practice sessions to reparent the Child, reflect on past experiences and beliefs, and cultivate positive emotions and behaviours. Self attachment simulates the secure attachment relationship between a child and a good parent,to turn the Adult into a parent that can help the emotional development of the Child.","The Self-Attachment Technique (SAT) is a self-help method to improve mental health. It aims to help individuals regulate their emotions by engaging with their ""childhood self"" known as the ""Child"" and ""adult self"" known as the ""Adult"". It involves creating a bond with the Child and engaging in daily practice sessions to reparent the Child.",Editorial,"[{""DisplayOrder"":1,""QnaId"":2,""DisplayText"":""what is attachment""},{""DisplayOrder"":2,""QnaId"":184,""DisplayText"":""stages of self-attachment""}, {""DisplayOrder"":2,""QnaId"":300,""DisplayText"":""lesson 1""}]",180,FALSE,FALSE
What is self-attachment theory?,"The Self-Attachment Technique (SAT) is a self-help method to improve mental health. It aims to help individuals regulate their emotions by engaging with their ""childhood self"" known as the ""Child"" and ""adult self"" known as the ""Adult"". It involves creating a bond with the Child and engaging in daily practice sessions to reparent the Child, reflect on past experiences and beliefs, and cultivate positive emotions and behaviours. Self attachment simulates the secure attachment relationship between a child and a good parent,to turn the Adult into a parent that can help the emotional development of the Child.","The Self-Attachment Technique (SAT) is a self-help method to improve mental health. It aims to help individuals regulate their emotions by engaging with their ""childhood self"" known as the ""Child"" and ""adult self"" known as the ""Adult"". It involves creating a bond with the Child and engaging in daily practice sessions to reparent the Child.",Editorial,"[{""DisplayOrder"":1,""QnaId"":2,""DisplayText"":""what is attachment""},{""DisplayOrder"":2,""QnaId"":184,""DisplayText"":""stages of self-attachment""}, {""DisplayOrder"":2,""QnaId"":300,""DisplayText"":""lesson 1""}]",180,FALSE,FALSE
What goal should I have?,"This goal should be a non-materialistic goal that guides us towards growth and self-development in society. For example success in an academic, scientific, literary, philosophical, athletic, spiritual, professional, charitable, manufacturing, or commercial field. An example could be recycling every week or doing more volunteer work.",This goal should be a non-materialistic goal that guides us towards growth and self-development in society.,Editorial,[],182,FALSE,FALSE
Can I have goals like making money?,This goal should be a non-materialistic goal,,Editorial,[],183,FALSE,FALSE
How many stages of self-attachment?,The 4 stages of self-attachment are as follows: 1- Introduction to attachment theory and SAT 2- Connection with the Child 3- Falling in love with the Child 4- Developmental training for the Child,There are 4 stages of self-attachment.,Editorial,[],184,FALSE,FALSE
Why do I need role-play?,"In SAT, we address our challenges in managing emotions by acknowledging their roots in childhood development. By role-playing as a parent to our inner child, we learn how to effectively regulate emotions and develop a sense of humor. Through collaboration between the adult and child within us, we work towards replacing old patterns with new ones, unlocking our potential and striving for higher goals.",,Editorial,[],185,FALSE,FALSE
What if I don't have any goal?,"If we don't have a clear goal at the start of the program, we try to find it as we practice the protocols.",,Editorial,[],186,FALSE,FALSE
Why can't I feel the improvement?,"To make lasting improvements with SAT, it's important to practice consistently every day. Changing old habits and developing new, healthier patterns takes time and patience. Just like it took years to form those old patterns, it will take months of dedicated effort to create new, better ones. So, stay committed, be patient, and remember that gradual progress leads to lasting change.",,Editorial,[],187,FALSE,FALSE
How many exercises? ,There are 26 exercises in total in the SAT course,,Editorial,[],188,FALSE,FALSE
How long is the course?,The course is eight weeks long,,Editorial,[],189,FALSE,FALSE
How much time?,The course is eight weeks long,,Editorial,[],189,FALSE,FALSE
What attitude should I have to my child self?,One of the principles of self-attachment is to have a warm and compassionate attitude towards the Child and their emotional problems. Later this compassion is extended to other people.,A compassionate attitude towards the Child is needed,Editorial,[],191,FALSE,FALSE
How can we learn compassion?,"We can find examples and role models of good parents interacting with their children in our family, among friends, in the parks and playgrounds or on the Web: they show affection without spoiling their children, hugging and caressing them at times of stress or even in ordinary circumstances.",,Editorial,[],193,FALSE,FALSE
Why do we fall in love with the child?,"This falling in love will activate the reward system of the brain by releasing happy hormones and neurotransmitters, which create the motivation, capacity and energy needed to carry out self-attachment protocols to raise the child to emotional maturity.","In self-attachment, the theoretical basis of falling in love with the child is primary narcissism or innate self-love, which is hypothesized to exist in all individuals.",Editorial,[],194,FALSE,FALSE
How is SAT related to role-playing?,SAT is a type of double role-playing game in which the individual plays the role of the child and the adult simultaneously.,,Editorial,[],195,FALSE,FALSE
Is falling in love with the child the same as being in love with oneself?,"Falling in love with the Child is quite different from being in love with oneself. The Adult falls in love with the Child as good parents are in love with their children, and attend to the child lovingly but at the same time contain the anti-social selfishness and unreasonable egoistic expectations of the Child.",,Editorial,[],198,FALSE,FALSE
What are examples of songs for falling in love with the child?,"""My Heart Will Go On"", by Celine Dion and ""Under the Sea"", from the Little Mermaid.",,Editorial,[],200,FALSE,FALSE
Why do we need attachment to nature?,Attachment to nature is an effective way to increase joy and reduce negative emotions.,,Editorial,[],201,FALSE,FALSE
Why do we need to speak out loud to the child?,"The purpose of speaking out loud to the child is to create an emotional bond with them and help in their emotional development. It is through speaking aloud with the child that we can develop into compassionate, creative, happy individuals and reach our goals.","To create an emotional bond with them and help in their emotional development, to higher levels of maturity",Editorial,[],202,FALSE,FALSE
Is laughing ridiculing?,"When we find humor in things that we've taken seriously, it's actually a way of being playful. It's important to understand that this laughter doesn't come from a place of disrespect or contempt for anyone, including ourselves. Instead, our laughter takes place with compassion and love for the child.",,Editorial,[],204,FALSE,FALSE
Why do we need to laugh?,"The goal is to come to believe that, unlike in the past, in SAT, we can see our problems and issues in a positive light and with a sense of humour and joy.",,Editorial,[],205,FALSE,FALSE
Why do we need continuous laughter?,Continuous laughter can be the best antidote to stress,,Editorial,[],206,FALSE,FALSE
Why do we need laughing exercises?,"Laughing exercises are like an antidote for depression, because it turns the topic of depression into a cause for whole-hearted laughter.",,Editorial,[],207,FALSE,FALSE
How can we apply laughing exercises?,"After repeated practice of the laughing exercises, we can begin to apply it to things that worry us in the present and the future.",,Editorial,[],208,FALSE,FALSE
Why do I need to reprocess painful childhood events?,In self-attachment one initially gains the skills to enhance positive emotions before tackling childhood traumas through revisiting and reprocessing them.,,Editorial,[],209,FALSE,FALSE
What are mental exercises?,"Reading, playing mental games, learning new things, and meditation can all be considered mental exercises.",,Editorial,[],211,FALSE,FALSE
feedback,I would greatly appreciate it if you provide your feedback. Please click on the feedback tab in the navigation bar and follow the link to the google form to provide your feedback.  ,,Editorial,[],215,FALSE,TRUE
lesson 1,"We begin lesson 1 with an introduction to the course. \n Self-attachment (SAT) is a self-help method that helps individuals regulate their emotions by engaging with their ""childhood self"" known as the ""Child"" and their ""adult self"" known as the ""Adult"".\n In the SAT course, we aim to create an affectional bond with the Child and reparent them for two months to reach a goal.\n Now I would like you to set yourself a non-materialistic goal that will guide you towards growth or self-development in society. It could be an achievement in a academic, athletic, spiritual, professional or charitable field. \n Also note that SAT is to be taken seriously: it is necessary to have some 8 hours of sleep every night, and at least 30 minutes of physical exercise daily to be able to practice the protocols successfully. \n Try to also avoid making important life decisions for 2 months while undertaking the course.","We begin lesson 1 with an introduction to the course. \n In the SAT course, we aim to create an affectional bond with the Child, and reparent them for two months to reach a goal.\n Now, set yourself a non-materialistic goal that will guide you towards growth or self-development in society such as recycling every week",Editorial,"[{""DisplayOrder"":1,""QnaId"":301,""DisplayText"":""Four stages of self-attachment""}]",300,FALSE,TRUE
Four stages of self-attachment,"In four stages, self-attachment emulates the relationship between child and a good parent. We turn our adult self, called the Adult, into a parent that helps the emotional development of our childhood self, the Child. \n Stage 1 is ""Introduction to attachment theory"" and SAT \n Stage 2 is  ""Connecting Compassionately with the Child"" \n Stage 3 is ""Creating an affectional bond with the Child"". \n The fourth stage is ""Developmental training for the child"".",,Editorial,"[{""DisplayOrder"":1,""QnaId"":302,""DisplayText"":""Stage 1""}]",301,FALSE,TRUE
Stage 1,"Stage One: Introduction to SAT \n SAT is a technique to enhance mental health.\n Like any other form of self-improvement method, SAT entails serious effort, patience and perseverance on our behalf.\n SAT protocols simulate the parent-child relationship, which may at first seem strange.\n Therefore, we should make ourselves informed by attachment theory in general and the scientific hypotheses of self-attachment technique.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":1,""DisplayText"":""Attachment theory""},{""DisplayOrder"":2,""QnaId"":303,""DisplayText"":""Role-play in SAT""}]",302,FALSE,TRUE
Role-play in SAT,"Role-play in SAT. \n Our problems with properly managing our emotions are usually rooted in our childhood development.\n In SAT, the Adult learns how a good parent interacts with the Child, and through role-playing, they become a parent to the Child.\n The intervention strategy is based on collaboration between the Adult and the Child for regulating emotions and learning to laugh.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":304,""DisplayText"":""gradual improvement through SAT""}]",303,FALSE,TRUE
gradual improvement through SAT,"Since SAT takes place through acquiring new positive habits, sustainable improvement will only take place gradually, and requires consistent daily repetition of the protocols.\n Non-optimal thought and behavioural patterns, are developed over the course of many years in our childhood and then consolidated by repetition in later years.\n Therefore,developing optimal thought and behavioural patterns will similarly take months of consistent daily effort. \n This requires patience and perseverance.","Sustainable progress in SAT, depends on consistent and daily repetition of protocols. \n This is because, developing optimal thought and behavioural patterns requires months of daily effort, patience, and perseverance.",Editorial,"[{""DisplayOrder"":1,""QnaId"":305,""DisplayText"":""3 sets of exercises""}]",304,FALSE,TRUE
3 Sets of Exercises ,"The 26 exercises in SAT are grouped in three sets: \n 1) Basic core level: Exercises 1 to 10 \n 2) Intermediate level: Exercises 11 to 21 \n 3) Advanced level: Exercises 22 to 26  \n Please ensure that you can practise exercises in each level effectively, before moving to the next level.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":306,""DisplayText"":""Stage 2""}]",305,FALSE,TRUE
Stage 2,"Moving to stage 2: Connecting with the Child. \n We differentiate between our adult self and child self. \n Examining childhood photos or avatar helps with this distinction and other exercises. \n We use ""happy"" photo or avatar to express happiness and ""unhappy"" for sadness, anger, fear, or disgust. \n By analyzing these photos or avatars and recalling past events of our childhood, we gradually build a psychological portrait of the child. \n We explore our emotions and issues with parents and significant figures during early years.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":307,""DisplayText"":""Compassion for the child""},{""DisplayOrder"":1,""QnaId"":406,""DisplayText"":""What is an avatar""} ]",306,FALSE,TRUE
Compassion for the Child," One of the principles of self-attachment, is to have a warm and compassionate attitude towards our child and their emotional problems. \n Later, this compassion can be extended to other people.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":308,""DisplayText"":""Exercise 1""}]",307,FALSE,TRUE
exercise 1,"We will now practice the first exercise on recalling childhood memories. \n In a quiet place, look at your happy and unhappy photos. \n Interact with your avatar in different emotions \n Recall positive and negative childhood memories and early relationships in the family. \n This exercise should take at least 5 minutes.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":309,""DisplayText"":""Exercise 2a""}]",308,FALSE,TRUE
exercise 2a,"Exercise 2a: \n With your eyes closed, first imagine your ""happy"" photo or avatar, imagining that the Child is near you. \n Now, imagine you are embracing the child \n Then, imagine you are playing with the child, for example a game you played as a child \n Finally, imagine that you are dancing with the child. \n Reflect how you feel in each scenario. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":310,""DisplayText"": ""Exercise 2b""}]",309,FALSE,TRUE
exercise 2b,"Exercise 2b: \n With your eyes closed, first imagine your ""unhappy"" photo or avatar, imagining that the child is near you \n Now, imagine you are embracing and consoling the child.\n Open your eyes and put on the Google Cardboard. Set a negative emotion (sad, angry, fearful or disgusted)  on your avatar. Then click on ""Auto Emotion"" and by staring at your child avatar, imagine you are reassuring and comforting your child which makes the child happy and eventually dance. Reflect on how you feel in each scenario. ",,Editorial,"[{""DisplayOrder"":1,""QnaId"":311,""DisplayText"":""Homework""}, {""DisplayOrder"":2,""QnaId"":405,""DisplayText"":""What is a Google Cardboard""}]",310,FALSE,TRUE
Homework,"Congratulations on completing lesson 1! Here is some homework for you to get better with what you have learnt:\n Practise Exercise 1, Exercise 2a, with the happy avatar, and Exercise 2b,with the unhappy avatar, for at least 5 minutes per exercise, twice a day.\n Write down your experience after each session in your diary.",,Editorial,"[{""DisplayOrder"":1,""QnaId"":215,""DisplayText"":""getting your feedback""}]",311,TRUE,TRUE
